['http://www.wlmq.gov.cn/gk/zfwj/2021/461054.htm', '关于印发《乌鲁木齐市公共资源交易目录 （2021年版）》的通知', '2021-01-11']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457492.htm', '关于印发乌鲁木齐市知识产权运营服务体系建设实施方案的通知', '2020-11-09']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457294.htm', '关于划定乌将线普速铁路乌鲁木齐北站至乌阜界安全保护区的通告', '2020-10-23']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457293.htm', '关于划定兰新线普速铁路乌吐界至达坂城站至乌鲁木齐南站安全保护区的通告', '2020-10-23']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457530.htm', '关于公布乌鲁木齐市城区土地基准地价更新调整结果的通告', '2020-10-13']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457291.htm', '关于印发乌鲁木齐市城市市政公用基础设施配套费征收使用实施细则的通知', '2020-09-16']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457290.htm', '印发关于加快推进乌鲁木齐市装配式建筑发展的通知', '2020-09-16']
['http://www.wlmq.gov.cn/gk/zfwj/2020/450503.htm', '关于做好疫情期间困难群众基本生活保障工作的实施意见', '2020-08-27']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457532.htm', '关于进一步完善医疗救助政策的通知', '2020-06-30']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457289.htm', '关于印发乌鲁木齐市生态环境保护约谈办法（试行）的通知', '2020-06-20']
['http://www.wlmq.gov.cn/gk/zfwj/2020/447423.htm', '印发关于促进3岁以下婴幼儿照护服务发展的实施方案的通知', '2020-05-13']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457531.htm', '关于印发2020年乌鲁木齐市脊髓灰质炎疫苗补充免疫活动实施方案的通知', '2020-05-05']
['http://www.wlmq.gov.cn/gk/zfwj/2019/443561.htm', '乌鲁木齐市人民政府2019年度法治政府建设情况报告', '2020-04-29']
['http://www.wlmq.gov.cn/gk/zfwj/2020/457292.htm', '关于公布乌鲁木齐市2020年度保障性住房申请家庭收入和住房标准的通告', '2020-03-21']
['http://www.wlmq.gov.cn/gk/zfwj/2019/438109.htm', '关于划定新建高速铁路乌鲁木齐新客站及相关工程铁路线路安全保护区的通告', '2019-12-25']
['http://www.wlmq.gov.cn/gk/zfwj/2019/420375.htm', '关于调整乌鲁木齐市2019年度保障性住房申请标准的通告', '2019-02-25']
['http://www.wlmq.gov.cn/gk/zfwj/2018/406776.htm', '关于取消公章刻制审批事项的决定', '2018-10-19']
['http://www.wlmq.gov.cn/gk/zfwj/2018/409384.htm', '关于印发2018年乌鲁木齐市食品安全重点工作安排的通知', '2018-09-12']
['http://www.wlmq.gov.cn/gk/zfwj/gfxwjql/405115.htm', '关于印发《乌鲁木齐市涉及产权保护的规章、 规范性文件清理工作方案》的通知', '2018-07-30']
['http://www.wlmq.gov.cn/gk/zfwj/2018/394075.htm', '关于禁止猎捕野生动物和采集野生植物的通告', '2018-06-04']
['http://www.wlmq.gov.cn/gk/zfwj/2018/392085.htm', '关于外埠转入机动车执行国四排放标准的通告', '2018-05-22']
['http://www.wlmq.gov.cn/gk/zfwj/2018/391037.htm', '关于印发乌鲁木齐市绿地养护管理绩效考核办法的通知', '2018-04-23']
['http://www.wlmq.gov.cn/gk/zfwj/2018/391036.htm', ' 关于乌鲁木齐市建立病死畜禽无害化处理机制实施方案的通知', '2018-04-10']
['http://www.wlmq.gov.cn/gk/zfwj/2018/391035.htm', ' 关于印发乌鲁木齐市都市现代农业示范园区认定扶持管理办法的通知', '2018-03-26']
['http://www.wlmq.gov.cn/gk/zfwj/2018/374944.htm', '关于乌鲁木齐市人民政府2017年度法治政府建设情况的报告', '2018-01-24']
['http://www.wlmq.gov.cn/gk/zfwj/2018/391038.htm', '关于印发乌鲁木齐市城镇职工大病保险 补充办法的通知', '2018-01-15']
['http://www.wlmq.gov.cn/gk/zfwj/2018/370465.htm', '关于印发乌鲁木齐市地下综合管廊 运营管理办法的通知', '2018-01-08']
['http://www.wlmq.gov.cn/gk/zfwj/2018/391034.htm', ' 关于加强重点行业企业用地再开发利用 环境管理工作的通知', '2018-01-05']
['http://www.wlmq.gov.cn/gk/zfwj/2017/369643.htm', '关于印发乌鲁木齐市落实区域大气环境同防 同治工作实施方案（2017—2020）的...', '2017-12-27']
['http://www.wlmq.gov.cn/gk/zfwj/2017/369029.htm', '关于印发2017年乌鲁木齐市今冬明春大气污染防治工作实施方案的通知', '2017-12-21']
['http://www.wlmq.gov.cn/gk/zfwj/2017/354908.htm', '关于印发乌鲁木齐市关于简化免缴城市市政公用基础设施配套费审批程序的实施办...', '2017-10-18']
['http://www.wlmq.gov.cn/gk/zfwj/2017/390715.htm', '关于取消部分行政许可事项的决定', '2017-10-12']
['http://www.wlmq.gov.cn/gk/zfwj/2017/353709.htm', '关于印发乌鲁木齐市住宅小区配套幼儿园建设管理办法的通知', '2017-10-05']
['http://www.wlmq.gov.cn/gk/zfwj/2017/353710.htm', '关于印发乌鲁木齐市加快融资租赁业发展实施意见的通知', '2017-10-05']
['http://www.wlmq.gov.cn/gk/zfwj/2017/353711.htm', '关于做好2017—2018年度城市供热保障工作的通知', '2017-10-05']
['http://www.wlmq.gov.cn/gk/zfwj/2017/352308.htm', '关于印发乌鲁木齐市电线电缆产品专项整治工作方案的通知', '2017-09-25']
['http://www.wlmq.gov.cn/gk/zfwj/gfxwjql/352306.htm', '关于印发乌鲁木齐市加强铸造行业规范管理的工作方案的通知\u200b', '2017-09-25']
['http://www.wlmq.gov.cn/gk/zfwj/2017/351499.htm', '关于印发乌鲁木齐市“天变蓝”工作实施方案的通知', '2017-09-22']
['http://www.wlmq.gov.cn/gk/zfwj/2017/350224.htm', '关于印发乌鲁木齐市名牌产品标志管理办法的通知', '2017-09-11']
['http://www.wlmq.gov.cn/gk/zfwj/2017/350075.htm', '关于废止乌鲁木齐财政扶持民办幼儿园发展奖补资金管理办法（暂行）的通知', '2017-09-08']
['http://www.wlmq.gov.cn/gk/zfwj/gfxwjql/390667.htm', '关于公布市人民政府规范性文件 清理结果的通知', '2017-09-04']
['http://www.wlmq.gov.cn/gk/zfwj/2017/349474.htm', '关于印发乌鲁木齐市电动汽车充电基础设施建设实施方案的通知', '2017-08-31']
['http://www.wlmq.gov.cn/gk/zfwj/2017/348095.htm', '关于印发乌鲁木齐市企业研究开发费用税前加计扣除项目鉴定办法（试行）的通知', '2017-08-22']
['http://www.wlmq.gov.cn/gk/zfwj/2017/347942.htm', '关于印发乌鲁木齐市高层建筑消防安全综合治理工作实施方案的通知', '2017-08-21']
['http://www.wlmq.gov.cn/gk/zfwj/2017/345517.htm', '关于印发乌鲁木齐市2017—2018学年推广学生饮用奶计划工作实施方案的通知', '2017-08-15']
['http://www.wlmq.gov.cn/gk/zfwj/2017/344610.htm', '关于进一步加强城市周边非法砂场关停清场工作的通知', '2017-08-09']
['http://www.wlmq.gov.cn/gk/zfwj/2017/344602.htm', '关于印发乌鲁木齐市2017年工业企业燃煤锅（窑）炉清洁能源改造工作方案的通知', '2017-08-09']
['http://www.wlmq.gov.cn/gk/zfwj/2017/341794.htm', '关于印发乌鲁木齐市政府性债务风险应急处置预案的通知', '2017-07-26']
['http://www.wlmq.gov.cn/gk/zfwj/2017/341793.htm', '关于印发乌鲁木齐社会投资项目前期费管理办法（暂行）的通知', '2017-07-26']
['http://www.wlmq.gov.cn/gk/zfwj/2017/336783.htm', '关于印发乌鲁木齐市固定资产投资项目促进农村劳动力培训就业工作实施方案的通...', '2017-06-09']
['http://www.wlmq.gov.cn/gk/zfwj/2017/334081.htm', '关于切实做好大气污染防治重点工作的通知', '2017-05-31']
['http://www.wlmq.gov.cn/gk/zfwj/2017/334064.htm', '关于调整乌鲁木齐市2017年度保障性住房申请标准的通告', '2017-05-31']
['http://www.wlmq.gov.cn/gk/zfwj/2017/317338.htm', '关于印发全面推进绿色建筑发展实施方案的通知', '2017-05-12']
['http://www.wlmq.gov.cn/gk/zfwj/2017/315962.htm', '关于印发乌鲁木齐市2017年水污染防治工作方案的通知', '2017-04-28']
['http://www.wlmq.gov.cn/gk/zfwj/2017/315961.htm', '关于印发乌鲁木齐加强石油天然气管道保护工作实施方案的通知', '2017-04-28']
['http://www.wlmq.gov.cn/gk/zfwj/2017/311440.htm', '关于印发乌鲁木齐区域大气环境同防同治工作实施方案的通知', '2017-03-30']
['http://www.wlmq.gov.cn/gk/zfwj/2017/390664.htm', '关于进一步加强春季期间一氧化碳 中毒防范工作的通知', '2017-03-27']
['http://www.wlmq.gov.cn/gk/zfwj/2017/310504.htm', '关于印发乌鲁木齐市2017年“五保”老人集中供养和孤儿集中收养工作实施方案的...', '2017-03-23']
['http://www.wlmq.gov.cn/gk/zfwj/2017/310501.htm', '关于印发乌鲁木齐市实施井电双控取用地下水管理办法（试行）的通知', '2017-03-23']
['http://www.wlmq.gov.cn/gk/zfwj/2017/303102.htm', '关于公布市本级政府部门行政审批中介服务事项清单的通知', '2017-01-11']
['http://www.xinjiangnet.com.cn/2021/0908/2323206.shtml', '乌鲁木齐市国民经济和社会发展第十四个五年规划和2035年远景目标纲要', '2021-09-13']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/482158.htm', '自治区发展改革委关于新疆电网 电价调整有关事宜的通知（新发改规〔2021〕13号）', '2021-09-07']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/482157.htm', '自治区发展改革委关于调整销售电价分类适用范围的通知（新发改规〔2021〕1号 ）', '2021-09-07']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/482156.htm', '自治区发展改革委关于明确部分环保行业用电价格有关事宜的通知（新发改规〔2021〕7号）', '2021-09-07']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/482155.htm', '自治区发展改革委关于进一步明确非电网直供电价格政策有关事宜的通知（新发改规〔2021〕5号）', '2021-09-07']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/482154.htm', '《关于进一步明确非电网直供电价格政策有关事宜的通知》政策解读', '2021-09-07']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/477735.htm', '关于印发《乌鲁木齐市优化机动车停放服务收费的方案》的通知', '2021-07-15']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/476353.htm', '《重要商品和服务价格指数行为管理办法（试行）》2021年第43号令', '2021-07-02']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472373.htm', '关于乌鲁木齐市道路临时泊位停车收费标准的通知', '2021-05-31']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472369.htm', '关于规范乌鲁木齐市住宅小区物业服务收费和停车服务收费的通知', '2021-05-31']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472365.htm', '《关于进一步明确我市幼儿园收费管理的通知》乌发改收费〔2021〕74号', '2021-05-31']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472363.htm', '关于进一步完善乌鲁木齐市医院停车收费政策的通知', '2021-05-31']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472358.htm', '《关于调整乌鲁木齐市机动车停放服务差别化收费标准的通知》的补充通知', '2021-05-31']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472356.htm', '关于调整乌鲁木齐市机动车停放服务差别化收费标准的通知', '2021-05-31']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/472124.htm', '关于印发《新疆维吾尔自治区物业服务收费管理办法》的通知', '2021-05-27']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/442786.htm', '政府定价经营服务性收费目录清单', '2020-04-16']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441240.htm', '关于执行自治区水资源费征收标准的通知（乌发改医价〔2017〕1203号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441239.htm', '关于调整乌鲁木齐市污水处理费标准和排水管网维护费的通知（乌发改医价〔2017〕1124号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441241.htm', '转发《自治区发展改革委关于全区居民生活用电同价有关事宜的通知》的通知（乌发改产价〔2017〕935号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441242.htm', '关于转发《自治区发展改革委关于进一步降低我区一般工商业及其他类用电价格有关事宜的通知》的通知（乌发改产价〔2019〕478号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441244.htm', '关于阶段性降低非居民用天然气销售价格的通知（乌发改产价〔2020〕77号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441245.htm', '关于调整乌鲁木齐市供暖热力销售价格的通知（乌市计价工农〔2003〕40号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441246.htm', '关于乌鲁木齐市轨道交通票价的批复（乌发改医价〔2018〕564号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/441243.htm', '转发国家发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知（乌发改产价〔2020〕55号）', '2020-03-25']
['http://www.wlmq.gov.cn/fjbm/fgw/zcfg/440969.htm', '自治区发展改革委关于我区机动车驾驶员培训服务收费标准及完善相关收费政策的通知', '2020-03-18']
['http://www.xjtsq.gov.cn/info/2761/140837.htm', '关于李彦萍同志免职的通知', '2021年03月06日']
['http://www.xjtsq.gov.cn/info/2761/140836.htm', '关于王新育同志免职的通知', '2021年03月06日']
['http://www.xjtsq.gov.cn/info/2761/140835.htm', '关于阿依古丽•吐尼亚孜同志免职的通知', '2021年03月06日']
['http://www.xjtsq.gov.cn/info/2761/140834.htm', '关于汶志社同志免职的通知', '2021年03月06日']
['http://www.xjtsq.gov.cn/info/2761/140833.htm', '关于陈伟鹏同志免职的通知', '2021年01月23日']
['http://www.xjtsq.gov.cn/info/2761/140832.htm', '关于薛峥同志免职的通知', '2021年01月23日']
['http://www.xjtsq.gov.cn/info/2761/140831.htm', '关于景建武等同志职务任免的通知', '2021年01月23日']
['http://www.xjtsq.gov.cn/info/2761/140830.htm', '关于闫巍同志任职的通知', '2021年01月23日']
['http://www.xjtsq.gov.cn/info/2761/140829.htm', '关于胡浩等同志职务任免的通知', '2021年01月23日']
['http://www.xjtsq.gov.cn/info/2761/140828.htm', '关于周长华同志免职的通知', '2021年01月04日']
['http://www.xjtsq.gov.cn/info/2761/140827.htm', '关于肖予君等同志职务任免的通知', '2021年01月04日']
['http://www.xjtsq.gov.cn/info/2761/140826.htm', '关于戴寻寻等同志任职的通知', '2021年01月04日']
['http://www.xjtsq.gov.cn/info/2761/137218.htm', '关于胡海涛、郭晓伟同志职务任免的通知', '2019年07月26日']
['http://www.xjtsq.gov.cn/info/2761/137217.htm', '关于马宏文、艾克拜尔·尼牙孜同志职务任免的通知', '2019年07月26日']
['http://www.xjtsq.gov.cn/info/2761/137216.htm', '关于于莉、艾则孜·买斯地克同志职务任免的通知', '2019年06月14日']
['http://www.xjtsq.gov.cn/info/2761/140836.htm', '关于王新育同志免职的通知', '2021年03月06日']
